subj_id	trial_no	item_type	source	moni_response	rt_moni	word	study_pos
178	1	*VVV*	right	R	2.278785699999844	Hektar	36
178	2	*VVV*	left	L	2.8198388000000705	Sänger	56
178	3	*EEE*	left	L	3.078537200000028	Hammer	14
178	4	*VVV*	left	L	3.9407431999998153	Boden	73
178	5	*EEE*	left	R	2.1472608000003675	Flasche	51
178	6	*EEE*	left	L	2.522934599999644	Lawine	19
178	7	*nnn*	nosou	N	1.4686579999997775	Metall	-95
178	8	*nnn*	nosou	N	1.1244818999998643	Fabrik	-95
178	9	*EEE*	left	L	1.2117356000003383	Pferd	66
178	10	*VVV*	left	N	1.8862113000000136	Stange	52
178	11	*nnn*	nosou	N	1.0912506999998186	Zeitung	-95
178	12	*VVV*	right	R	1.8999672999998438	Gabel	61
178	13	*nnn*	nosou	N	1.7015265	Haut	-95
178	14	*EEE*	right	R	1.3087918999999602	Nektar	17
178	15	*VVV*	right	N	3.65237419999994	Auto	26
178	16	*VVV*	right	R	1.2913115000001198	Kneipe	29
178	17	*nnn*	nosou	N	1.797375600000123	Kalk	-95
178	18	*EEE*	left	N	1.3401781000002302	Doktor	18
178	19	*VVV*	left	L	3.8457658000002084	Becher	37
178	20	*VVV*	right	R	1.4938302000000476	Diener	48
178	21	*nnn*	nosou	N	1.3980634999998074	Sessel	-95
178	22	*nnn*	nosou	N	1.3406609999997272	Ofen	-95
178	23	*nnn*	nosou	N	1.949371599999722	Blut	-95
178	24	*nnn*	nosou	N	1.26896859999988	Bauch	-95
178	25	*nnn*	nosou	N	1.4775316000000203	Person	-95
178	26	*nnn*	nosou	N	2.6206624999999804	Getränk	-95
178	27	*VVV*	left	N	2.0442407999998977	Vulkan	65
178	28	*VVV*	right	R	2.3819695000001957	Fenster	30
178	29	*EEE*	left	L	1.5404748999999356	Yacht	69
178	30	*VVV*	right	R	2.517306599999756	Orkan	64
178	31	*VVV*	right	N	2.964548100000229	Reptil	53
178	32	*VVV*	right	N	2.2191367000000355	König	68
178	33	*nnn*	nosou	N	2.9809832000000824	Raupe	-95
178	34	*nnn*	nosou	N	1.1660837999997966	Feuer	-95
178	35	*nnn*	nosou	N	2.035457800000131	Wiese	-95
178	36	*nnn*	nosou	N	1.0368453999999474	Kaffee	-95
178	37	*VVV*	left	R	2.043191300000217	Schmutz	71
178	38	*VVV*	right	N	2.6542193000000225	Lager	79
178	39	*VVV*	right	L	1.5183257000003323	Lerche	54
178	40	*nnn*	nosou	R	3.0209257999999863	Keller	-95
178	41	*VVV*	left	N	2.340609399999721	Winter	32
178	42	*nnn*	nosou	N	0.9335092999999688	Neffe	-95
178	43	*nnn*	nosou	N	0.9328088000002026	Vogel	-95
178	44	*nnn*	nosou	N	0.757274999999936	Pianist	-95
178	45	*EEE*	left	N	0.9417126999996981	Stein	21
178	46	*nnn*	nosou	N	0.9644490999999107	Halle	-95
178	47	*nnn*	nosou	N	0.9308782999996765	Sklave	-95
178	48	*nnn*	nosou	N	1.2352974000000359	Küche	-95
178	49	*EEE*	right	N	3.8535617000002276	Brief	47
178	50	*nnn*	nosou	N	1.125893399999768	Strand	-95
178	51	*VVV*	left	L	1.2772052999998778	Nonne	44
178	52	*EEE*	right	N	1.7573860999996214	Moor	34
178	53	*nnn*	nosou	N	1.2855084000002535	Fuchs	-95
178	54	*VVV*	right	N	3.3651135000000068	Gold	63
178	55	*EEE*	left	L	2.0220186999999896	Schaum	11
178	56	*nnn*	nosou	N	3.589200599999913	Fluss	-95
178	57	*nnn*	nosou	N	1.0142064000001483	Felsen	-95
178	58	*nnn*	nosou	N	0.7236502999999175	Tinte	-95
