subj_id	trial_no	item_type	source	moni_response	rt_moni	word	study_pos
152	1	*nnn*	nosou	R	1.98777119999977	Auto	-95
152	2	*VVV*	right	R	1.6284442000005583	Wolle	22
152	3	*nnn*	nosou	N	2.564992899999197	Stein	-95
152	4	*VVV*	right	L	1.396039799999926	Schädel	70
152	5	*nnn*	nosou	N	0.8995921000005183	Diamant	-95
152	6	*nnn*	nosou	R	1.1318080000000919	Insekt	-95
152	7	*nnn*	nosou	N	0.9251150999998572	Maler	-95
152	8	*nnn*	nosou	R	1.3942243000001326	Mönch	-95
152	9	*VVV*	right	R	0.9877912000001743	Lager	6
152	10	*VVV*	left	N	1.0199996999999712	Gold	15
152	11	*EEE*	left	N	1.1888068999996904	Erde	5
152	12	*nnn*	nosou	L	1.1323006000002351	König	-95
152	13	*nnn*	nosou	N	1.458766700000524	Hafer	-95
152	14	*nnn*	nosou	L	1.5657634999997754	Salat	-95
152	15	*nnn*	nosou	N	1.1882951999996294	Fuchs	-95
152	16	*nnn*	nosou	R	1.236411599999883	Lawine	-95
152	17	*EEE*	right	N	0.9009601999996448	Toast	40
152	18	*nnn*	nosou	N	1.3016975999998976	Hammer	-95
152	19	*VVV*	right	L	1.5163339000000633	Vogel	64
152	20	*nnn*	nosou	L	1.1733242000000246	Diener	-95
152	21	*nnn*	nosou	N	1.021836500000063	Altar	-95
152	22	*nnn*	nosou	N	1.0281551999996736	Körper	-95
152	23	*EEE*	right	R	1.5578428999997413	Sessel	13
152	24	*nnn*	nosou	N	2.0443373999996766	Blut	-95
152	25	*nnn*	nosou	N	0.9080486000002566	Zeitung	-95
152	26	*VVV*	right	N	1.1337288000004264	Becher	29
152	27	*nnn*	nosou	N	0.7802091000003202	Pudding	-95
152	28	*nnn*	nosou	R	0.8775888999998642	Garten	-95
152	29	*nnn*	nosou	N	1.1503408999997191	Wald	-95
152	30	*EEE*	right	N	1.1487852000000203	Fleisch	71
152	31	*EEE*	left	L	1.1334185000005164	Doktor	10
152	32	*nnn*	nosou	N	0.9876328000000285	Ofen	-95
152	33	*VVV*	left	L	1.3242151000004014	Dozent	58
152	34	*EEE*	right	L	1.7082540000001245	Panzer	74
152	35	*EEE*	right	N	1.1179479000002175	Keller	28
152	36	*VVV*	left	N	1.5569273000000976	Metall	79
152	37	*nnn*	nosou	N	0.8535474000000249	Moor	-95
152	38	*nnn*	nosou	N	1.3008583000000726	Apfel	-95
152	39	*EEE*	left	R	0.7810950000002777	Stirn	55
152	40	*VVV*	right	R	0.8769585999998526	Strand	36
152	41	*VVV*	right	N	0.9251917999999932	Vieh	17
152	42	*nnn*	nosou	N	1.3253331000005346	Winter	-95
152	43	*nnn*	nosou	N	0.700058500000523	Neffe	-95
152	44	*nnn*	nosou	N	0.7419104999999035	Schaum	-95
152	45	*VVV*	left	N	0.6540297999999893	Heer	3
152	46	*VVV*	left	L	1.5727686000000176	Katze	33
152	47	*nnn*	nosou	N	1.131103400000029	Blüte	-95
152	48	*EEE*	left	N	0.8131507999996757	Kalk	8
152	49	*EEE*	left	L	0.7170191000004706	Elefant	54
152	50	*nnn*	nosou	L	0.98141459999988	Feuer	-95
152	51	*nnn*	nosou	N	0.685772700000598	Stern	-95
152	52	*EEE*	right	N	0.7570075000003271	Boden	34
152	53	*nnn*	nosou	N	0.926458900000398	Brief	-95
152	54	*VVV*	right	N	0.8688695000000735	Auspuff	61
152	55	*nnn*	nosou	N	1.4135322000001906	Nässe	-95
152	56	*nnn*	nosou	R	0.6458236999997098	Wiese	-95
152	57	*EEE*	left	R	0.8526934000001347	Kaffee	72
152	58	*nnn*	nosou	N	0.9256447999996453	Kugel	-95
152	59	*EEE*	right	R	1.2453056000003926	Tinte	9
152	60	*nnn*	nosou	N	1.701673700000356	Hektar	-95
152	61	*nnn*	nosou	N	2.0128868000001603	Mutter	-95
152	62	*nnn*	nosou	N	0.8295400999995763	Mord	-95
152	63	*nnn*	nosou	N	1.061632500000087	Schmutz	-95
152	64	*nnn*	nosou	N	1.5576148000000103	Felsen	-95
152	65	*nnn*	nosou	N	1.1734352000003128	Zucker	-95
152	66	*VVV*	left	L	0.8781479999997828	Allee	46
152	67	*EEE*	left	L	0.7499371000003521	Nonne	68
152	68	*nnn*	nosou	N	0.8621599000007336	Wiege	-95
152	69	*EEE*	right	N	0.9399383999998463	Yacht	59
152	70	*nnn*	nosou	L	0.9870467999999164	Junge	-95
152	71	*VVV*	left	L	2.3334069000002273	Plakat	45
152	72	*VVV*	left	N	0.7816920000004757	Puppe	48
152	73	*nnn*	nosou	N	0.8132812000003469	Harfe	-95
152	74	*EEE*	right	R	0.8859068000001571	Buch	63
152	75	*nnn*	nosou	N	0.7972386999999799	Eisen	-95
152	76	*EEE*	right	N	0.8445701999999073	Nektar	38
152	77	*nnn*	nosou	N	0.9099505000003774	Ecke	-95
152	78	*nnn*	nosou	R	2.3968912999998793	Pflanze	-95
152	79	*nnn*	nosou	N	0.8536481000001004	Blase	-95
152	80	*EEE*	left	R	0.9018542000003436	Wasser	21
152	81	*VVV*	left	R	0.829659800000627	Stange	18
152	82	*nnn*	nosou	N	0.6540383999999904	Schleim	-95
152	83	*EEE*	right	R	0.8147803000001659	Seil	11
152	84	*nnn*	nosou	N	0.9893203999999969	Leiche	-95
152	85	*nnn*	nosou	N	0.8696460999999545	Person	-95
152	86	*VVV*	right	N	0.8375811000005342	Meer	43
152	87	*nnn*	nosou	N	0.6377957000004244	Kind	-95
152	88	*nnn*	nosou	N	0.6377081999999064	Gift	-95
152	89	*EEE*	left	L	1.4930642999997872	Flasche	76
152	90	*nnn*	nosou	L	1.2623869999997623	Stuhl	-95
152	91	*EEE*	left	N	0.9581484999998793	Sauna	30
152	92	*nnn*	nosou	N	2.0929210000003877	Pianist	-95
152	93	*nnn*	nosou	N	0.6612116000005699	Geld	-95
152	94	*VVV*	left	L	0.915322599999854	Larve	1
152	95	*EEE*	left	N	1.1968259000004764	Orkan	69
152	96	*nnn*	nosou	L	3.1809086000002935	Pfeffer	-95
152	97	*VVV*	right	N	0.8374056000002383	Bauch	32
152	98	*nnn*	nosou	N	1.2049256000000241	Vulkan	-95
152	99	*nnn*	nosou	N	0.8593805999998949	Raupe	-95
152	100	*VVV*	left	N	0.9736070999997537	Palast	14
152	101	*EEE*	right	R	2.8058172999999442	Butter	80
152	102	*EEE*	left	L	1.042896699999801	Gabel	52
152	103	*nnn*	nosou	R	1.293162800000573	Pferd	-95
152	104	*VVV*	right	L	0.9248179999995045	Lerche	66
152	105	*nnn*	nosou	N	1.5086301000001185	Küste	-95
152	106	*EEE*	left	N	0.860892500000773	Redner	56
152	107	*VVV*	left	N	0.9002163000004657	Abgrund	73
152	108	*EEE*	left	L	0.8685789999999542	Möbel	51
152	109	*VVV*	right	L	1.0134613000000172	Berg	39
152	110	*VVV*	left	N	0.6693595999995523	Fischer	23
152	111	*nnn*	nosou	N	0.6055059000000256	Wohnung	-95
152	112	*EEE*	right	N	0.6295829999999114	Bettler	62
152	113	*VVV*	right	N	1.013574499999777	Dichter	53
152	114	*VVV*	right	N	1.3575193999995463	Pfeil	19
152	115	*nnn*	nosou	R	1.0298616999998558	Sturm	-95
152	116	*nnn*	nosou	N	1.0778056000008291	Haut	-95
152	117	*VVV*	left	N	1.1581878000006327	Schmied	20
152	118	*nnn*	nosou	N	0.869029400000727	Rathaus	-95
152	119	*EEE*	right	N	0.9088909000001877	Frosch	50
152	120	*EEE*	left	N	0.7575153999996473	Ehefrau	24
152	121	*nnn*	nosou	N	1.1090972000001784	Bankier	-95
152	122	*VVV*	left	R	0.8534208000000945	Dampf	31
152	123	*VVV*	right	N	0.8695528000007471	Halle	77
152	124	*VVV*	right	N	0.79682959999991	Reptil	27
152	125	*EEE*	right	L	1.1331693000001906	Pfarrer	12
