"id","trial_no","item_type","ori_source","source","moni_response","assign","rt_moni","word","study_pos","age","gender","occupation","strategy1","strategy2"
101,41,"R item","right","bottom","N","N",0.693267300000116,"Schüler",53,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,42,"distractor","nosou","nosou","N","N",0.804567200000292,"Räuber",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,43,"distractor","nosou","nosou","N","N",0.725269999999909,"Lerche",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,44,"R item","left","top","L","T",1.29392959999996,"Wasser",80,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,45,"distractor","nosou","nosou","N","N",0.731806399999641,"Gelenk",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,46,"F item","right","bottom","N","N",0.973003999999946,"Fleisch",74,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,47,"distractor","nosou","nosou","N","N",0.965125799999896,"Doktor",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,48,"R item","left","top","R","B",0.979025499999807,"Mönch",4,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,49,"F item","right","bottom","R","B",0.955751799999689,"Sumpf",47,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,50,"F item","left","top","N","N",1.10095659999979,"Schlamm",61,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,51,"F item","right","bottom","N","N",0.765151699999933,"Diener",27,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,52,"distractor","nosou","nosou","L","T",0.965632400000231,"Wiese",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,53,"R item","right","bottom","L","T",1.3333491999997,"Fenster",5,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,54,"distractor","nosou","nosou","N","N",0.837488199999825,"Palast",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,55,"F item","left","top","N","N",0.732946900000115,"Mädchen",21,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,56,"distractor","nosou","nosou","N","N",0.766124699999637,"Haut",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,57,"F item","left","top","N","N",0.685169200000018,"Hose",2,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,58,"F item","left","top","R","B",1.18934089999993,"Nektar",20,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,59,"F item","right","bottom","L","T",0.877872499999739,"Fluss",1,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,60,"distractor","nosou","nosou","N","N",0.861550099999931,"Mord",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,61,"distractor","nosou","nosou","N","N",0.718538099999932,"Wohnung",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,62,"distractor","nosou","nosou","N","N",0.780909200000224,"Hammer",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,63,"distractor","nosou","nosou","N","N",0.870225499999833,"Salat",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,64,"distractor","nosou","nosou","N","N",0.791013100000328,"Kinn",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,65,"F item","left","top","N","N",0.862337999999909,"Lager",9,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,66,"distractor","nosou","nosou","N","N",1.22102769999992,"Zimmer",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,67,"R item","right","bottom","R","B",0.845644600000014,"Erde",67,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,68,"distractor","nosou","nosou","N","N",0.612743099999989,"Auspuff",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,69,"distractor","nosou","nosou","N","N",0.685427999999774,"Plakat",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,70,"R item","left","top","L","T",0.885408899999675,"Pudding",79,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,71,"distractor","nosou","nosou","N","N",0.717177099999844,"Frosch",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,72,"F item","right","bottom","N","N",0.884552600000006,"Möbel",17,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,73,"F item","right","bottom","N","N",0.587910900000225,"Tinte",19,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,74,"F item","left","top","N","N",0.733428999999887,"Pfeife",22,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,75,"distractor","nosou","nosou","N","N",1.31742020000002,"Luft",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,76,"F item","right","bottom","N","N",0.661791300000004,"Butter",77,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,77,"distractor","nosou","nosou","N","N",0.741554700000052,"Grab",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,78,"distractor","nosou","nosou","N","N",0.917765299999701,"Gras",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,79,"F item","right","bottom","N","N",0.869449899999836,"Pfeffer",50,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,80,"distractor","nosou","nosou","N","N",1.04650619999984,"Eisen",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,81,"F item","right","bottom","N","N",0.724818099999993,"Schleim",7,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,82,"distractor","nosou","nosou","N","N",0.837238899999647,"Getränk",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,83,"distractor","nosou","nosou","N","N",0.818226400000185,"Lawine",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,84,"F item","right","bottom","N","N",0.853513600000042,"Fabrik",54,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,85,"R item","right","bottom","N","N",0.813208899999609,"Fischer",43,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,86,"F item","left","top","N","N",0.678096200000255,"Keller",70,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,87,"distractor","nosou","nosou","N","N",0.781888900000013,"Altar",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,88,"distractor","nosou","nosou","N","N",0.837236599999869,"Gold",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,89,"R item","left","top","N","N",0.717355099999622,"Hütte",78,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,90,"distractor","nosou","nosou","N","N",0.804861200000232,"Gemüse",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,91,"F item","right","bottom","N","N",0.845150199999807,"Garten",72,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,92,"R item","right","bottom","N","N",1.05336469999975,"Puppe",37,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,93,"R item","left","top","L","T",0.96331390000023,"Ofen",62,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,94,"distractor","nosou","nosou","N","N",0.709628800000246,"Vulkan",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,95,"R item","left","top","N","N",0.853375400000004,"König",8,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,96,"R item","right","bottom","N","N",1.72547190000023,"Neffe",29,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,97,"distractor","nosou","nosou","N","N",0.846209700000145,"Brett",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,98,"F item","left","top","N","N",0.701079500000105,"Sklave",10,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,99,"R item","right","bottom","L","T",0.740725099999963,"Küste",69,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,100,"distractor","nosou","nosou","N","N",0.765521500000432,"Brief",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,101,"R item","right","bottom","L","T",0.805508500000087,"Orkan",11,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,102,"R item","left","top","N","N",0.876998099999582,"Toast",55,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,103,"distractor","nosou","nosou","N","N",1.44590029999972,"Fahne",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,104,"R item","right","bottom","L","T",0.885879599999953,"Zucker",45,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,105,"F item","left","top","N","N",0.821371800000179,"Pferd",66,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,106,"distractor","nosou","nosou","N","N",1.67801920000011,"Fuchs",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,107,"F item","left","top","N","N",0.917858399999659,"Stein",26,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,108,"R item","right","bottom","R","B",0.963183700000172,"Yacht",38,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,109,"R item","left","top","N","N",0.678359600000022,"Stern",42,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,110,"R item","left","top","N","N",0.877202600000146,"Kaffee",59,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,111,"R item","right","bottom","R","B",1.07718939999995,"Person",28,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,112,"distractor","nosou","nosou","N","N",0.774292500000229,"Seil",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,113,"distractor","nosou","nosou","N","N",0.702027599999838,"Stirn",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,114,"distractor","nosou","nosou","N","N",0.852445299999999,"Schmied",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
