subj_id_no	age	gender	occupation	strategy1	strategy2
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
64	19	w	2	1	Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen. 
