subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
56	109	*nnn*	nosou	new	0.7899956594919786	N	-66	Mord	-95
56	110	*nnn*	nosou	new	1.0459343212860404	N	-66	Fluss	-95
56	111	*nnn*	nosou	new	0.9978404120338382	N	-66	Schiff	-95
56	112	*nnn*	nosou	new	1.6458484957111068	N	-66	Fischer	-95
56	113	*nnn*	nosou	new	0.7744256209844025	N	-66	Heer	-95
56	114	*EEE*	top	old	1.0461492954636924	B	1.9333083624151186	Auto	48
56	115	*VVV*	bottom	new	2.7793339246491087	N	-66	Gold	80
56	116	*VVV*	bottom	old	1.9738888419378782	T	0.8300764471205184	Auspuff	59
56	117	*EEE*	bottom	old	2.0273854134211433	B	1.0215876745933201	Wald	26
56	118	*EEE*	top	old	1.298702113883337	T	0.4857124219779507	Wohnung	36
56	119	*nnn*	nosou	new	1.5546202628756873	N	-66	Getränk	-95
56	120	*EEE*	bottom	old	0.926015240191191	T	0.8297088576728129	Palast	39
56	121	*EEE*	bottom	old	0.9710769468074432	B	0.6539490018913057	Pfeife	33
56	122	*VVV*	top	new	1.8825088143566973	N	-66	Klavier	67
56	123	*VVV*	bottom	new	1.7820608967667795	N	-66	Katze	65
56	124	*nnn*	nosou	new	0.6775867260803352	N	-66	Lerche	-95
56	125	*nnn*	nosou	new	0.5797611653179047	N	-66	Yacht	-95
56	126	*VVV*	bottom	old	0.9820016557932831	B	0.9977390787826153	Wiese	41
56	127	*nnn*	nosou	old	1.707840239716461	T	0.8218069154390832	Nagel	-95
56	128	*VVV*	top	old	1.2983956526004476	B	0.6537438738523633	Fabrik	46
56	129	*EEE*	top	old	2.850580635415099	T	0.4616763391386485	Nektar	25
56	130	*EEE*	bottom	old	1.0272590545500861	T	0.47012474246002967	Klippe	44
56	131	*VVV*	top	old	1.4026355670648627	B	0.3340132644007099	Hektar	63
56	132	*nnn*	nosou	new	1.3536641200771555	N	-66	Insekt	-95
56	133	*nnn*	nosou	new	1.486000011485885	N	-66	Fleisch	-95
56	134	*EEE*	bottom	old	0.829996447180747	B	1.4459397366663325	Vulkan	9
56	135	*VVV*	top	old	1.3226848634440103	T	0.32556486107205274	Dozent	51
56	136	*nnn*	nosou	old	3.4752471997926477	B	0.49394708189356606	Kaffee	-95
56	137	*nnn*	nosou	new	0.8671262628704426	N	-66	Rathaus	-95
56	138	*nnn*	nosou	new	1.655019770238141	N	-66	Blut	-95
56	139	*VVV*	bottom	old	1.4390191269558272	B	1.3020621111281798	Bettler	79
56	140	*nnn*	nosou	new	2.586449159833137	N	-66	Zucker	-95
56	141	*nnn*	nosou	new	0.6783826228638645	N	-66	Pelz	-95
