subj_id_no	age	gender	occupation	strategy1	strategy2
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
50	25	m	2	0	none
