subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
63	1	*nnn*	nosou	new	4.000625230769401	N	-66	Ehefrau	-95
63	2	*VVV*	bottom	new	3.6769148717949065	N	-66	Eisen	45
63	3	*EEE*	bottom	old	1.7807999999999993	T	1.7389702564100844	Bankier	2
63	4	*nnn*	nosou	old	3.1216873846155977	T	2.8055663589743745	Gras	-95
63	5	*nnn*	nosou	new	1.6104254358974686	N	-66	Strand	-95
63	6	*VVV*	bottom	new	1.4060438974356657	N	-66	Gehirn	8
63	7	*nnn*	nosou	new	1.7971991794870519	N	-66	Hose	-95
63	8	*nnn*	nosou	new	1.1811712820513094	N	-66	Vulkan	-95
63	9	*nnn*	nosou	new	2.3739429743591245	N	-66	Luft	-95
63	10	*EEE*	top	old	2.87577066666654	B	2.3966875897435784	Raupe	63
63	11	*VVV*	bottom	new	7.320746256410075	N	-66	Fleisch	65
63	12	*VVV*	bottom	new	1.3737846153844657	N	-66	Stirn	66
63	13	*EEE*	bottom	old	1.6158966153843721	T	1.3159725128202808	Gift	51
63	14	*EEE*	bottom	old	1.4107606153843335	T	1.9726026666667167	Stern	56
63	15	*nnn*	nosou	new	1.3450133333335543	N	-66	Pfeffer	-95
63	16	*EEE*	bottom	new	1.541399384615488	N	-66	Becher	43
63	17	*nnn*	nosou	new	1.1173981538458975	N	-66	Insekt	-95
63	18	*VVV*	top	old	1.604553025641053	B	1.2532270769233946	Keller	78
63	19	*VVV*	bottom	new	1.5707651282050392	N	-66	Fuchs	68
63	20	*EEE*	bottom	old	1.4120570256413885	B	2.588731076923068	Junge	7
63	21	*nnn*	nosou	new	2.3221661538459557	N	-66	Pfeife	-95
63	22	*nnn*	nosou	old	2.6447154871798375	T	0.8772730256409886	Fenster	-95
63	23	*nnn*	nosou	new	2.779809641025622	N	-66	Geld	-95
63	24	*EEE*	top	old	1.4218006153846545	T	2.036244102564069	Berg	50
63	25	*EEE*	bottom	new	3.0101476923077826	N	-66	Küche	28
63	26	*VVV*	top	old	1.860657641025682	T	1.4286707692308482	Felsen	26
63	27	*nnn*	nosou	new	1.3702576410260008	N	-66	Wohnung	-95
63	28	*nnn*	nosou	new	1.5413739487175917	N	-66	Pianist	-95
63	29	*VVV*	top	new	1.1655499487183079	N	-66	Feuer	40
63	30	*nnn*	nosou	new	0.7559552820512181	N	-66	Zucker	-95
63	31	*VVV*	bottom	new	1.1090387692311197	N	-66	Stange	11
63	32	*nnn*	nosou	new	0.8363729230768513	N	-66	Abgrund	-95
63	33	*EEE*	bottom	old	1.1890457435897588	B	0.8922498461538453	Flasche	38
63	34	*nnn*	nosou	new	0.9211081025641761	N	-66	Sumpf	-95
63	35	*EEE*	bottom	new	1.726188307692155	N	-66	Brett	55
63	36	*EEE*	bottom	old	1.2135987692304298	T	0.7975318974358743	Vogel	59
63	37	*VVV*	top	new	0.9138186666664296	N	-66	Schlamm	18
63	38	*EEE*	top	new	1.2289156923075097	N	-66	Ofen	80
63	39	*EEE*	top	old	2.292264615384738	B	0.8686654358975829	Nagel	70
