subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
13	141	*nnn*	nosou	new	2.2304365449308534	N	-66	Haut	-95
13	142	*nnn*	nosou	new	3.5740404938842403	N	-66	Gabel	-95
13	143	*nnn*	nosou	old	1.4461465499116457	T	0.46952046027581673	Hütte	-95
13	144	*EEE*	top	new	4.547333665912447	N	-66	Stange	15
13	145	*nnn*	nosou	old	1.9493309549434343	B	0.5017312792042503	Leiche	-95
13	146	*EEE*	top	new	1.9801825966205797	N	-66	Moor	47
13	147	*nnn*	nosou	new	2.2141662126450683	N	-66	Hafer	-95
13	148	*nnn*	nosou	new	1.221896251248836	N	-66	Pflanze	-95
13	149	*nnn*	nosou	new	1.422048948435986	N	-66	Fabrik	-95
13	150	*nnn*	nosou	new	1.3020204274580465	N	-66	Stern	-95
13	151	*nnn*	nosou	new	2.0542555007123156	N	-66	Gold	-95
13	152	*EEE*	top	old	0.7495044110692106	T	0.5416052650543861	Sklave	8
13	153	*nnn*	nosou	new	3.714356161057367	N	-66	Zeitung	-95
13	154	*EEE*	top	old	0.9662002605909947	T	0.8459744066058192	Pelz	19
13	155	*EEE*	bottom	old	2.786956657299015	B	0.845786919730017	Ecke	79
13	156	*EEE*	top	old	1.0988039404182928	B	0.5577123155453592	Fischer	28
13	157	*nnn*	nosou	new	2.2991892526115407	N	-66	Kalk	-95
13	158	*EEE*	top	old	0.7977541780492174	T	0.4458958836621605	Felsen	1
13	159	*EEE*	top	old	2.6426422274598735	T	0.40530107847735053	Tinte	27
13	160	*nnn*	nosou	new	1.6190640097411233	N	-66	Vogel	-95
