subj_id	trial_no	item_type	source	moni_response	rt_moni	word	study_pos
176	1	*VVV*	right	N	7.280430999999226	Blase	9
176	2	*EEE*	left	L	3.5869775000001027	Dozent	55
176	3	*nnn*	nosou	N	2.5167179000000033	Bankier	-95
176	4	*nnn*	nosou	N	2.5490350000000035	Nektar	-95
176	5	*nnn*	nosou	N	3.980901000000813	Wiese	-95
176	6	*VVV*	left	N	2.1721833999999944	Papier	59
176	7	*nnn*	nosou	N	1.9006478999999672	Raupe	-95
176	8	*EEE*	left	L	3.9072077999999237	Hütte	46
176	9	*nnn*	nosou	N	2.7227875999997195	Abgrund	-95
176	10	*nnn*	nosou	N	2.101601600000322	Wolle	-95
176	11	*nnn*	nosou	N	4.426542700000027	Mädchen	-95
176	12	*VVV*	left	R	12.5552344000007	Schaum	29
176	13	*nnn*	nosou	N	3.709449500000119	Reptil	-95
176	14	*VVV*	left	L	3.1333832000000257	Altar	15
176	15	*nnn*	nosou	L	3.2199687000002086	Gras	-95
176	16	*VVV*	right	R	6.3075635000004695	Fabrik	42
176	17	*VVV*	right	R	2.428468099999918	Apfel	80
176	18	*nnn*	nosou	N	4.0206371000003855	Getränk	-95
176	19	*nnn*	nosou	L	6.332693600000312	Wiege	-95
176	20	*nnn*	nosou	N	2.348905300000297	Feuer	-95
176	21	*VVV*	right	N	2.260946299999887	Schiff	69
176	22	*VVV*	left	N	8.85091730000022	König	22
176	23	*EEE*	left	R	3.4689604999994117	Dampf	41
176	24	*VVV*	right	L	4.669144899999992	Sessel	45
176	25	*nnn*	nosou	N	4.1168943999991825	Küste	-95
176	26	*nnn*	nosou	N	1.5721163000007436	Rathaus	-95
176	27	*nnn*	nosou	N	2.6767313999998805	Moor	-95
176	28	*EEE*	right	L	2.292778300000464	Flasche	51
176	29	*VVV*	right	N	2.8611677999997482	Salat	64
176	30	*EEE*	left	L	3.6437816999996357	Vieh	60
176	31	*EEE*	right	N	4.101093799999944	Berg	78
176	32	*VVV*	left	N	6.412679799999751	Nagel	66
176	33	*nnn*	nosou	N	2.7971724999997605	Puppe	-95
176	34	*VVV*	right	R	3.3008802000003925	Mönch	12
176	35	*VVV*	left	R	2.605722500000411	Gift	19
176	36	*EEE*	left	L	3.4298282999998264	Bettler	26
176	37	*nnn*	nosou	N	4.692920300000878	Fahne	-95
176	38	*VVV*	right	L	3.9492357999997694	Halle	3
176	39	*nnn*	nosou	N	2.253460200000518	Möbel	-95
176	40	*EEE*	right	L	2.365373599999657	Seil	14
176	41	*EEE*	right	R	2.260770699999739	Harfe	76
176	42	*nnn*	nosou	N	1.892644499999733	Pferd	-95
176	43	*nnn*	nosou	N	1.6380843999995705	Person	-95
176	44	*nnn*	nosou	N	2.0296486000006553	Fleisch	-95
176	45	*EEE*	left	L	1.6344514000002164	Ofen	13
176	46	*nnn*	nosou	N	2.100783099999717	Pflanze	-95
176	47	*nnn*	nosou	N	4.004884299999503	Schmied	-95
176	48	*EEE*	left	N	1.6047469999994064	Wohnung	65
176	49	*nnn*	nosou	N	4.52532919999976	Wald	-95
176	50	*nnn*	nosou	N	1.5308489999997619	Yacht	-95
176	51	*nnn*	nosou	N	1.9568279000004623	Staub	-95
176	52	*nnn*	nosou	N	3.5729990999998336	Schmutz	-95
176	53	*nnn*	nosou	N	1.333662899999581	Doktor	-95
176	54	*EEE*	left	R	2.08596850000049	Brett	6
176	55	*nnn*	nosou	N	2.228586200000791	Eisen	-95
176	56	*nnn*	nosou	N	1.597706699999435	Gold	-95
176	57	*VVV*	right	L	3.4693638999997347	Pfarrer	38
176	58	*EEE*	left	L	2.397812000000158	Palast	24
176	59	*nnn*	nosou	N	3.0528920999995535	Haut	-95
176	60	*nnn*	nosou	N	1.58094600000004	Klippe	-95
176	61	*VVV*	left	L	1.5895894999994198	Winter	49
176	62	*EEE*	left	L	3.2526912000002994	Stuhl	58
176	63	*nnn*	nosou	N	3.0269063999994614	Lerche	-95
176	64	*nnn*	nosou	N	1.3090228999999454	Dichter	-95
176	65	*nnn*	nosou	N	1.1331807999995362	Gelenk	-95
176	66	*nnn*	nosou	N	3.4691984000000957	Mord	-95
176	67	*nnn*	nosou	N	2.0291874999993524	Neffe	-95
176	68	*nnn*	nosou	N	3.149168799999643	Brief	-95
176	69	*nnn*	nosou	N	3.869127199999639	Schädel	-95
176	70	*EEE*	left	L	4.197026700000606	Schlamm	32
176	71	*nnn*	nosou	N	1.3577826000000641	Sturm	-95
176	72	*nnn*	nosou	N	1.6863124999999854	Katze	-95
176	73	*nnn*	nosou	N	1.6291855999998006	Felsen	-95
176	74	*EEE*	right	R	1.8291846000001897	Gemüse	75
176	75	*EEE*	left	R	1.7174807999999757	Körper	23
176	76	*nnn*	nosou	N	1.9890621000004103	Mutter	-95
176	77	*nnn*	nosou	N	1.7171625999999378	Hotel	-95
176	78	*nnn*	nosou	N	2.844737399999758	Ehefrau	-95
176	79	*EEE*	left	L	1.5331391999998232	Pfeil	68
176	80	*nnn*	nosou	N	1.4198952999995527	Toast	-95
176	81	*VVV*	left	L	1.3570302999996784	Auspuff	18
176	82	*VVV*	right	N	6.716788200000337	Luft	39
176	83	*VVV*	right	R	1.757408999999825	Heer	67
176	84	*nnn*	nosou	N	3.6376141999999163	Wasser	-95
176	85	*EEE*	right	L	1.598421299999245	Pelz	61
176	86	*nnn*	nosou	N	3.981028599999263	Becher	-95
176	87	*EEE*	left	N	2.1968957999997656	Vogel	30
176	88	*nnn*	nosou	N	4.565602200000285	Grab	-95
176	89	*VVV*	left	N	3.557123700000375	Schüler	27
176	90	*EEE*	left	L	1.9011499999996886	Hose	33
176	91	*VVV*	left	N	2.372889600000235	Fluss	37
176	92	*VVV*	left	N	1.7653393999999025	Maler	72
176	93	*nnn*	nosou	N	1.6853008999996746	Fischer	-95
176	94	*nnn*	nosou	N	7.211578599999484	Klavier	-95
176	95	*nnn*	nosou	N	1.564848300000449	Fuchs	-95
176	96	*nnn*	nosou	N	1.4840025000003152	Insekt	-95
176	97	*VVV*	left	L	1.2840814999999566	Sklave	43
176	98	*VVV*	right	N	2.172164200000225	Elefant	71
176	99	*EEE*	right	R	3.917019900000014	Räuber	21
176	100	*nnn*	nosou	N	3.292990599999939	Sauna	-95
176	101	*EEE*	left	R	1.3792114999996556	Zimmer	1
176	102	*nnn*	nosou	N	2.229056000000128	Kneipe	-95
176	103	*VVV*	right	R	1.493154599999798	Nässe	35
176	104	*EEE*	right	R	1.4850050999993982	Ecke	7
176	105	*EEE*	left	R	4.421064500000284	Kalk	52
176	106	*VVV*	left	R	2.797247399999833	Hektar	28
176	107	*nnn*	nosou	N	5.011523199999829	Lawine	-95
176	108	*VVV*	right	R	1.604770599999938	Garten	10
176	109	*VVV*	right	N	3.0200375000003987	Lager	62
176	110	*nnn*	nosou	N	1.100365299999794	Zeitung	-95
176	111	*nnn*	nosou	N	1.253228599999602	Tinte	-95
176	112	*EEE*	right	L	2.412891099999797	Pfeife	11
176	113	*nnn*	nosou	N	1.2854859999997643	Gehirn	-95
176	114	*EEE*	right	R	1.605432700000165	Meer	74
176	115	*VVV*	left	N	3.530644399999801	Junge	5
176	116	*VVV*	left	N	1.261802400000306	Buch	54
176	117	*nnn*	nosou	N	1.2288421000002927	Stange	-95
176	118	*nnn*	nosou	N	1.5502458000000843	Nonne	-95
176	119	*VVV*	left	N	4.444916700000249	Stein	50
176	120	*EEE*	right	L	1.4456169000004593	Kinn	79
176	121	*nnn*	nosou	N	3.2540658999996595	Diener	-95
176	122	*VVV*	left	R	2.437334700000065	Hammer	4
176	123	*nnn*	nosou	N	1.5571120999993582	Bauch	-95
176	124	*nnn*	nosou	N	1.8459100999998554	Butter	-95
176	125	*nnn*	nosou	N	2.525803700000324	Geld	-95
176	126	*VVV*	right	N	4.476876900000207	Erde	44
176	127	*nnn*	nosou	N	1.9249458999993294	Larve	-95
176	128	*nnn*	nosou	N	3.205166900000222	Sänger	-95
176	129	*EEE*	left	L	2.2773526999999376	Strand	34
176	130	*nnn*	nosou	N	1.1968217000003278	Allee	-95
176	131	*nnn*	nosou	N	1.55740969999988	Orkan	-95
176	132	*EEE*	right	R	1.5732686999999714	Stern	73
176	133	*VVV*	left	N	3.4050499000004493	Diamant	63
176	134	*VVV*	left	L	3.341094299999895	Blüte	2
176	135	*nnn*	nosou	N	1.1889225999993869	Metall	-95
176	136	*nnn*	nosou	N	2.4214297999997143	Vulkan	-95
