subj_id	trial_no	item_type	source	moni_response	rt_moni	word	study_pos
151	1	*nnn*	nosou	N	6.102455699999837	Auto	-95
151	2	*EEE*	left	L	12.642957000000024	Sklave	36
151	3	*VVV*	right	N	1.7079659000000902	Mutter	50
151	4	*nnn*	nosou	R	5.669190699999945	Vulkan	-95
151	5	*EEE*	left	L	3.5165976999999202	Tinte	70
151	6	*EEE*	left	R	1.6839729999999236	Pudding	59
151	7	*nnn*	nosou	N	2.2928503000000546	Blüte	-95
151	8	*nnn*	nosou	N	1.6877719000001434	Schleim	-95
151	9	*nnn*	nosou	N	1.0144081000000824	Metall	-95
151	10	*VVV*	left	L	1.4452890000000025	Schmied	55
151	11	*VVV*	left	N	4.732829400000128	Fluss	33
151	12	*EEE*	left	R	1.132485000000088	Hütte	42
151	13	*nnn*	nosou	N	1.8056834999999865	Haut	-95
151	14	*EEE*	left	L	3.0603370999999697	Pfeffer	8
151	15	*nnn*	nosou	N	3.3165934000001016	Panzer	-95
151	16	*nnn*	nosou	N	1.4213314000000992	Fischer	-95
151	17	*nnn*	nosou	N	1.3727612000001272	Elefant	-95
151	18	*nnn*	nosou	R	1.2044467999999142	Zeitung	-95
151	19	*VVV*	right	L	2.717180800000051	Hammer	72
151	20	*EEE*	left	R	5.622454000000062	Moor	1
151	21	*EEE*	right	R	1.8198403999999755	Fabrik	12
151	22	*nnn*	nosou	L	2.884235699999863	Diamant	-95
151	23	*nnn*	nosou	N	1.1572072999999818	Pfarrer	-95
151	24	*VVV*	right	L	2.34002959999998	Küche	48
151	25	*EEE*	right	N	1.308907500000032	Katze	9
151	26	*nnn*	nosou	N	3.8452062000001206	Erde	-95
151	27	*VVV*	left	R	1.485488400000122	Klavier	41
151	28	*VVV*	left	L	1.41331880000007	Schaum	76
151	29	*EEE*	right	N	1.8601674999999886	Gold	29
151	30	*EEE*	right	R	6.805576799999926	Toast	63
151	31	*nnn*	nosou	N	1.5021816000000854	Vogel	-95
151	32	*EEE*	left	L	8.84522979999997	Pflanze	40
151	33	*EEE*	right	R	1.5094460000000254	Maler	6
151	34	*EEE*	right	L	1.0452364000000216	Pfeil	26
151	35	*nnn*	nosou	N	2.069107600000052	Abgrund	-95
151	36	*nnn*	nosou	N	2.4052741000000424	Gemüse	-95
151	37	*EEE*	left	R	1.3573949999999968	Sturm	10
151	38	*EEE*	right	R	3.6217057999999724	Pferd	43
151	39	*VVV*	right	N	1.5877063000000362	Lawine	62
151	40	*nnn*	nosou	N	3.66047709999998	Klippe	-95
151	41	*nnn*	nosou	N	2.212886600000047	Kneipe	-95
151	42	*nnn*	nosou	N	1.7090617999999722	Auspuff	-95
151	43	*EEE*	right	R	2.205485700000054	Küste	46
151	44	*EEE*	right	L	1.5084633000001304	Redner	2
151	45	*VVV*	right	L	2.7090857999999116	Palast	79
151	46	*nnn*	nosou	N	2.637631199999987	Zucker	-95
151	47	*nnn*	nosou	R	3.1490561000000525	Stuhl	-95
151	48	*EEE*	left	L	2.269448399999874	Larve	74
151	49	*nnn*	nosou	N	0.9816200000000208	Gelenk	-95
151	50	*nnn*	nosou	N	1.2858084000001782	Vieh	-95
151	51	*VVV*	right	N	2.677547000000004	Fuchs	49
151	52	*nnn*	nosou	N	5.43738570000005	Dampf	-95
151	53	*nnn*	nosou	N	1.0274202999999034	Wolle	-95
151	54	*nnn*	nosou	N	1.4617212999999083	Boden	-95
151	55	*nnn*	nosou	R	1.8928287999999611	Fenster	-95
151	56	*nnn*	nosou	L	1.5814443000001575	Schüler	-95
151	57	*VVV*	right	L	3.0461109000000306	Stern	45
151	58	*nnn*	nosou	N	5.404044699999986	Neffe	-95
151	59	*VVV*	left	N	1.8613552000001619	Rathaus	58
151	60	*nnn*	nosou	N	6.973497299999963	Nagel	-95
151	61	*EEE*	right	R	3.781034399999953	Hose	14
151	62	*VVV*	left	N	7.0784642999999505	Blut	4
151	63	*nnn*	nosou	N	1.2535069000000476	Kinn	-95
151	64	*VVV*	left	N	2.3068233999999848	Körper	23
151	65	*VVV*	right	N	0.989246200000025	Mönch	38
151	66	*nnn*	nosou	N	1.8451896999999917	Pfeife	-95
151	67	*VVV*	right	R	1.4048130999999557	Leiche	11
151	68	*VVV*	left	R	1.75704769999993	Staub	78
151	69	*nnn*	nosou	L	2.365588099999968	Grab	-95
