subj_id_no	age	gender	occupation	strategy1	strategy2
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
160	21	m	psy_stud	1	falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht
